numero_national_de_structure;libelle;sigle;etat;annee_de_creation;annee_de_fermeture;type_de_structure;code_de_type_de_structure;code_de_niveau_de_structure;numero_de_structure_successeur;code_de_type_de_succession;type_de_succession;annee_de_succession
200014589M;PATHOLOGIE DES SYSTEMES EPITHELAIUX : BIOLOGIE MOLECULAIRE ET INVESTIGATIONS CLINIQUES;EA3291;Inactive;2000;2003;Unité propre;21;2;;;;
200014629F;LABORATOIRE DE MECANIQUE D'EVRY ET D'ENERGETIQUE D'EVRY;EA3332;Active;2000;;Unité propre;21;2;;;;
200014631H;INSTITUT D'ETUDES DE L'ISLAM ET DES SOCIETES DU MONDE MUSULMAN;EA3334;Inactive;2000;2001;Unité propre;21;2;;;;
200014634L;MATHEMATIQUES APPLIQUEES ET CALCUL SCIENTIFIQUE (MACS);EA3337;Inactive;2000;2005;Unité propre;21;2;200615269A;F;fusion;2006
200014637P;ARCHITECTURE, VILLE,  DESIGN (AVD);EA3340;Inactive;2000;2005;Unité propre;21;2;200614215E;F;fusion;2006
200014644X;PASSEURS CULTURELS ET MECANISMES DE METISSAGE;EA3347;Inactive;2000;2005;Unité propre;21;2;200615364D;EF;éclatement - fusion;2006
200014652F;INSTITUT DE RECHERCHE SUR L'ENVIRONNEMENT JURIDIQUE DE L'ENTREPRISE (IREJE);EA3375;Inactive;2000;2007;Unité propre;21;2;;;;
200114659J;LABORATOIRE DE DROIT SOCIAL;EA3382;Active;2001;;Unité propre;21;2;;;;
200014605E;GROUPE D'ETUDES DES PALEOENVIRONNEMENTS : PALEOPARASITOLOGIE, PALEOENTOMOLOGIE, SEDIMENTOLOGIE;EA3308;Inactive;2000;2003;Unité propre;21;2;200415059F;EF;éclatement - fusion;2004
200014610K;ANALYSE ET EVALUATION DES PROFESSIONNALISATIONS;EA3313;Inactive;2000;2007;Unité mixte;22;2;;;;
200014611L;CENTRE D'ETUDE DES RELATIONS INTERNATIONALES;EA3314;Inactive;2000;2003;Unité propre;21;2;;;;
200014617T;INSTITUT D'HISTOIRE DU DROIT;IHD;Active;2000;;Unité propre;21;2;;;;
200014625B;INSTITUT DES MILIEUX OCÉANIENS ET AUSTRALASIENS (IMOA);EA3328;Inactive;2000;2007;Unité propre;21;2;200815479V;F;fusion;2008
199914376K;PHYSIOLOGIE ET PHYSIOPATHOLOGIE DE L'EXERCICE ET HANDICAP;EA3062;Inactive;1999;2006;Unité propre;21;2;;;;
199914377L;MORT CELLULAIRE ET NEOPLASIE;EA3063;Inactive;1999;2006;Unité propre;21;2;200716172C;E;éclatement;2007
199914381R;CENTRE JEAN PALERNE CERCOR;EA3067;Inactive;1999;2006;Unité propre;21;2;;;;
199914385V;SUBJECTIVITÉ, LIEN SOCIAL ET MODERNITÉ (EA 3071 - UR 3071 depuis 01.01.2020);SULISOM;Active;1999;;Unité propre;21;2;;;;
199914386W;Mitochondrie, stress oxydant et protection musculaire (EA 3072 - UR 3072 depuis 01.01.2020);MSP;Active;1999;;Unité propre;21;2;;;;
199914388Y;UNITE FEDERATIVE D'EQUIPES DE RECHERCHE EN SCIENCES DE L'INFORMATION ET DE LA COMMUNICATION (en commun avec Lyon 1 et Lyon 3);EA3074;Inactive;1999;2002;Unité propre;21;2;;;;
199914389Z;CENTRE D'ETUDE ET DE RECHERCHE DE L'INSTITUT D'ETUDES POLITIQUES (CERIEP);EA3075;Inactive;1999;2002;Unité propre;21;2;;;;
199914397H;Entrepôts, Représentation et Ingénierie des Connaissances;ERIC;Active;1995;;Unité mixte;22;2;;;;
199914401M;VIRULENCE ET CYCLE CELLULAIRE D'EUCARYOTES PARASITAIRES ET FONGIQUES;EA3087;Inactive;1999;2002;Unité propre;21;2;;;;
199914405S;ETUDE DE L'INFLAMMATION DE L'EPITHELIUM BRONCHIQUE ET INTESTINAL;EA3091;Inactive;1999;2006;Unité propre;21;2;;;;
199714407C;Centre d'analyse des rhétoriques religieuses de l'Antiquité (EA 3094 - UR 3094 depuis 01.01.2020);CARRA;Active;1997;;Unité propre;21;2;;;;
199914414B;LABORATOIRE DE BIOLOGIE CELLULAIRE HEMATOPOIETIQUE;EA3103;Inactive;1999;2000;Unité propre;21;2;;;;
199914415C;CENTRE DE RECHERCHE SUR LES PATHOLOGIES PROSTATIQUES;EA3104;Inactive;1999;2004;Unité propre;21;2;;;;
199914416D;LABORATOIRE D'ETUDES DE GENETIQUES BACTERIENNES DANS LES INFECTIONS DE L'ENFANT;EA3105;Inactive;1999;2013;Unité propre;21;2;;;;
199914417E;LABORATOIRE DE BIOLOGIE ET BIOCHIMIE CELLULAIRE DU VIEILLISSEMENT;EA3106;Inactive;1999;2008;Unité propre;21;2;;;;
199914418F;NEURO-ANATOMIE FONCTIONNELLE DES SYSTEMES SENSORIMOTEURS;EA3107;Inactive;1999;2004;Unité propre;21;2;;;;
199914422K;LABORATOIRE INTERDISCIPLINAIRE DE RECHERCHE IMPLIQUANT LA GEOLOGIE ET LA MECANIQUE;EA3111;Inactive;1999;2006;Unité propre;21;2;200717598C;EF;éclatement - fusion;2007
199914431V;CENTRE D'ENSEIGNEMENT ET DE RECHERCHE SUR L'EAU, LA VILLE E L'ENVIRONNEMENT (CEREVE);EA3121;Inactive;1999;2000;Unité propre;21;2;;;;
199914436A;GROUPE REIN ET HYPERTENSION;EA3127;Inactive;1999;2010;Unité propre;21;2;;;;
199914500V;ENVIRONNEMENTS MARINS NATURELS ET CONTROLES;EA3202;Inactive;1999;2006;Unité propre;21;2;;;;
199914502X;CENTRE D'HISTOIRE DES TECHNIQUES;EA3204;Inactive;1999;2002;Unité propre;21;2;200314985E;F;fusion;2003
200014506X;ARTS :  PRATIQUES ET POETIQUES;APP;Active;2000;;Unité propre;21;2;"201722265G;201722265G";"E;S";"éclatement;essaimage";"2017;2017"
200014507Y;CENTRE DE RECHERCHE ET D'ETUDE DES SOCIETES ET CULTURES ANTIQUES DE LA MEDITERRANEE;EA3209;Inactive;2000;2007;Unité propre;21;2;;;;
200014514F;PHYSIOPATHOLOGIE DES TRANSPORTS MEMBRANAIRES ET EPIDEMIOLOGIE MOLECULAIRE;EA3216;Inactive;2000;2003;Unité propre;21;2;;;;
199114522D;CENTRE DE RECHERCHES INTERDISCIPLINAIRES ET TRANSCULTURELLES;CRIT;Active;1991;;Unité mixte;22;2;;;;
200014527V;CENTRE D'ETUDES ET DE RECHERCHE EDITER INTERPRETER;CEREDI;Active;2000;;Unité propre;21;2;;;;
200114667T;ACTES TRANSGRESSIFS, DISCERNEMENT, ACTIVITE DE PENSEE ET RAPPORT A LA LOI;EA3390;Inactive;2001;2004;Unité propre;21;2;;;;
200114670W;STRATEGIES ET DYNAMIQUES FINANCIERES;EA3393;Inactive;2001;2008;Unité propre;21;2;;;;
200114673Z;CENTRE D'ETUDES INTERNATIONALES ET EUROPEENNES;EA3396;Inactive;2001;2004;Unité propre;21;2;200515250J;F;fusion;2005
200114675B;GROUPE DE RECHERCHE SUR LES IDENTITES ET LES CONSTRUCTIONS EUROPEENNES (GRICE);EA3398;Inactive;2001;2004;Unité propre;21;2;;;;
200114676C;Institut de recherches Carré de Malberg (EA 3399 - UR 3399 depuis 01.01.2020);IRCM;Active;2001;;Unité propre;21;2;;;;
200114687P;LABORATOIRE DE PSYCHOLOGIE CLINIQUE, PSYCHOPATHOLOGIQUE, SOCIALE ET CULTURELLE;EA3411;Inactive;2001;2004;Unité propre;21;2;;;;
200114688R;LABORATOIRE EDUCATIONS ET PRATIQUES DE SANTÉ;LEPS;Active;2001;;Unité propre;21;2;;;;
200114692V;RECHERCHES SUR L'IMAGINAIRE, LES REPRESENTATIONS, LES IDEOLOGIES ET LA SOCIETE ANGLAISES AUX  XVIE et XVIIE SIECLES (IRIS);EA3416;Inactive;2001;2004;Unité propre;21;2;;;;
200114694X;LANGUES ROMANES : LINGUISTIQUE, DIDACTIQUE, NOUVELLES TECHNOLOGIES, FORMATION DES ENSEIGNANTS ET DES FORMATEURS;EA3418;Inactive;2001;2004;Unité propre;21;2;;;;
200014469G;CENTRE D'ETUDES JURIDIQUES DE LA ROCHELLE;EA3170;Active;2000;;Unité propre;21;2;;;;
200014471J;LABORATOIRE DE NANOTECHNOLOGIE ET D'INSTRUMENTATION OPTIQUE;EA3172;Inactive;2000;2003;Unité propre;21;2;;;;
200014483X;LABORATOIRE DE BIOLOGIE ENVIRONNEMENTALE;EA3184;Inactive;2000;2007;Unité propre;21;2;200812285Y;EF;éclatement - fusion;2008
200014488C;LABORATOIRE DE SOCIOLOGIE ET D'ANTHROPOLOGIE DE L'UNIVERSITE DE FRANCHE-COMTE;LASA;Active;2000;;Unité propre;21;2;;;;
200214829P;ETUDES ANGLOPHONES : TEXTE ET CRITIQUE DU TEXTE;EA3554;Inactive;2002;2005;Unité propre;21;2;;;;
200214832T;L'OUEST AMERICAIN ET L'ASIE/PACIFIQUE ANGLOPHONE;EA3557;Inactive;2002;2005;Unité propre;21;2;;;;
200214833U;LANGAGES MUSICAUX;EA3558;Inactive;2002;2005;Unité propre;21;2;;;;
200214839A;CENTRE DE RECHERCHE EN ARTS VISUELS (CRAV);EA3564;Inactive;2002;2005;Unité propre;21;2;;;;
200214847J;AUTOMATIQUE DES SYSTEMES DYNAMIQUES HYBRIDES;EA3572;Inactive;2002;2005;Unité propre;21;2;;;;
200314935A;LABORATOIRE DE PSYCHOLOGIE;EA3662;Inactive;2003;2006;Unité propre;21;2;;;;
200314940F;ELECTROPHYSIOLOGIE ET STIMULATION CARDIAQUE;EA3668;Inactive;2003;2010;Unité propre;21;2;;;;
200314948P;MEDICAMENTS, PRODUITS ET SYSTEMES DE SANTE : EVALUATION, REGULATION, SECURITE;EA3676;Inactive;2003;2004;Unité propre;21;2;;;;
200314950S;LABORATOIRE D'ETUDES DES GEO-ENVIRONNEMENTS MARINS ( LEGEM);EA3678;Inactive;2003;2006;Unité propre;21;2;200715456Z;R;renouvellement;2007
200314953V;INSTITUT CATALAN DE RECHERCHE EN SCIENCES SOCIALES;ICRESS;Inactive;2003;2015;Unité propre;21;2;201522005H;F;fusion;2016
200314955X;CULTURE, REPRESENTATIONS, ARCHEOLOGIE ET THEATRE ANTIQUES(CRATA);EA3683;Inactive;2003;2006;Unité propre;21;2;200715397K;F;fusion;2007
200314957Z;EQUIPE DE RECHERCHE INTERDISCIPLINAIRE EN TOURISME;EA3685;Inactive;2003;2006;Unité propre;21;2;;;;
200114726G;DÉVELOPPEMENT, ADAPTATION ET HANDICAP. RÉGULATIONS CARDIO-RESPIRATOIRES ET DE LA MOTRICITÉ;DevAH;Active;2001;;Unité propre;21;2;;;;
200114727H;LABORATOIRE DE SCIENCES ANIMALES;EA3451;Inactive;2001;2004;Unité mixte;22;2;200515254N;F;fusion;2005
200114734R;REPRESENTATION, RECHERCHES THEATRALES ET CINEMATOGRAPHIQUES;EA3458;Inactive;2001;2008;Unité propre;21;2;;;;
200114741Y;ROMANIA - CENTRE INTERDISCIPLINAIRE DE RECHERCHE SUR LES LETTRES ET LES CULTURES FRANCAISES ET ROMANES;ROMANIA;Inactive;2001;2012;Unité mixte;22;2;201320866D;EF;éclatement - fusion;2013
200114753L;LABORATOIRE DE PSYCHOLOGIE;EA3477;Inactive;2001;2004;Unité propre;21;2;;;;
200114774J;LABORATOIRE DE CRISTALLOCHIMIE DU SOLIDE;EA3498;Inactive;2001;2004;Unité propre;21;2;;;;
200114776L;ENDOCRINOLOGIE MOLECULAIRE ET EVOLUTION;EA3501;Inactive;2001;2004;Unité propre;21;2;;;;
200114780R;GROUPE D'ETUDES SUR LA REGULATION ET LES MUTATIONS DES ECONOMIES CONTEMPORAINES (GERME);EA3505;Inactive;2001;2008;Unité propre;21;2;;;;
200114782T;CENTRE COMPARATISTE D'ÉTUDES ET DE RECHERCHES SUR LES LITTERATURES ANTIQUES ET MODERNES (C.L.A.M.);EA3507;Inactive;2001;2008;Unité propre;21;2;;;;
200114783U;MODÈLES DE DÉRÉGULATION GÉNIQUE : TRISOMIE 21 ET HYPERHOMOCYSTÉINÉMIE;EA3508;Inactive;2001;2008;Unité propre;21;2;;;;
200114787Y;CIBLAGE RADIOISOTOPIQUE EN ONCOLOGIE ET PATHOLOGIE CARDIO-VASCULAIRE : RECEPTEURS ET MARQUEURS DE MORT CELLULAIRE;EA3512;Inactive;2001;2008;Unité propre;21;2;;;;
200114791C;INTERACTIONS GENES ENVIRONNEMENT DANS LES PATHOLOGIES METABOLIQUES A RISQUE CARDIOVASCULAIRE;EA3516;Inactive;2001;2004;Unité propre;21;2;;;;
200114794F;SERVICE DE RECHERCHES EN HEMATO-IMMUNOLOGIE (SRHI);EA3519;Inactive;2001;2004;Unité propre;21;2;;;;
200114806U;CENTRE INTERDISCIPLINAIRE DE RECHERCHE SUR LES ILES BRITANNIQUES ET L'EUROPE DES LUMIERES;EA3531;Inactive;2001;2006;Unité propre;21;2;;;;
200214811V;PHYSIOPATHOLOGIE DU SYSTEME NERVEUX PERIPHERIQUE;EA3536;Inactive;2002;2005;Unité propre;21;2;;;;
200214820E;RECEPTEURS MEMBRANAIRES, LYMPHOCYTES ET NEURONES;EA3545;Inactive;2002;2005;Unité propre;21;2;;;;
200315008E;HORMONES STEROÏDES, DIFFERENCIATION SEXUELLE ET GENETIQUE MOLECULAIRE;EA3739;Inactive;2003;2006;Unité propre;21;2;200716505P;F;fusion;2007
200315011H;LABORATOIRE SPORT ET ENVIRONNEMENT SOCIAL;EA3742;Active;2003;;Unité propre;21;2;;;;
200315016N;Laboratoire de Conception et d'Intégration des Systèmes;LCIS;Active;2003;;Unité mixte;22;2;;;;
200415166X;CENTRE DE RECHERCHE UNIVERSITAIRE SUR LA CONSTRUCTION EUROPÉENNE;EA3907;Inactive;2004;2011;Unité propre;21;2;;;;
200415168Z;SAVOIRS ET SOCIALISATIONS EN EDUCATION ET FORMATION;EA3909;Inactive;2004;2007;Unité propre;21;2;;;;
200415172D;LABORATOIRE DE GÉNIE CIVIL ET GÉNIE MÉCANIQUE;LGCGM;Active;2004;;Unité mixte;22;2;;;;
200415187V;BOUDDHISME;EA3928;Inactive;2004;2007;Unité propre;21;2;;;;
200315022V;PHYSIOPATHOLOGIE CARDIOVASCULAIRE;EA3758;Inactive;2003;2006;Unité propre;21;2;;;;
200315025Y;NUTRITION - ALIMENTATION - SOCIETES;EA3762;Inactive;2003;2006;Unité propre;21;2;;;;
200315030D;EQUIPE DE RECHERCHE SUR LES PROCESSUS INNOVATIFS;ERPI;Active;2003;;Unité propre;21;2;;;;
200315033G;PATHOGENIE DES INFECTIONS VIRALES PERSISTANTES;EA3770;Inactive;2003;2005;Unité propre;21;2;;;;
200315034H;INFLAMMATION ET ENVIRONNEMENT DANS L'ASTHME;EA3771;Inactive;2003;2008;Unité propre;21;2;;;;
200415043N;CENTRE D'ECONOMIE ET DE FINANCES INTERNATIONALES (CEFI);EA3782;Inactive;2004;2007;Unité propre;21;2;200815502V;F;fusion;2008
200415051X;THEORIE LINGUISTIQUE ET ANALYSE DE LA DYNAMIQUE DES LANGAGES HUMAINS;EA3790;Inactive;2004;2009;Unité propre;21;2;;;;
200415061H;Hémostase Et Remodelage Vasculaire post-Ischémie;HERVI;Active;2004;;Unité propre;21;2;;;;
200415062J;UNITE DE THERMIQUE ET ANALYSE PHYSIQUE - UTAP;EA3802;Inactive;2004;2007;Unité propre;21;2;200815536G;F;fusion;2008
200415067P;DIVERSITE GENETIQUE ET ANTIGENIQUE DE HELICOBACTER PYLORI;EA3807;Inactive;2004;2007;Unité propre;21;2;200815560H;EF;éclatement - fusion;2008
200415069S;PHARMACOLOGIE DES ANTI-INFECTIEUX;EA3809;Inactive;2004;2011;Unité propre;21;2;201220154J;R;renouvellement;2012
200415072V;MEMOIRE, IDENTITE, MARGINALITE DANS LE MONDE OCCIDENTAL CONTEMPORAIN;MIMMOC;Active;2004;;Unité propre;21;2;;;;
200415081E;LABORATOIRE DE MATHEMATIQUES APPLIQUEES DU HAVRE - EA 3821;LMAH;Active;2004;;Unité propre;21;2;;;;
200415083G;LABORATOIRE D'ETUDE DU POLYMORPHISME DE L'ADN (LEPA);EA3823;Inactive;2004;2007;Unité propre;21;2;;;;
200415084H;CENTRE DE RECHERCHE SUR LES CONFLITS D'INTERPRETATION;EA3824;Inactive;2004;2011;Unité propre;21;2;;;;
200415093T;PSYCHOLOGIE DES REGULATIONS INDIVIDUELLES ET SOCIALES : CLINIQUE ET SOCIETE;EA3833;Inactive;2004;2007;Unité propre;21;2;;;;
200415095V;RÔLE DES CONNEXINES, ET DE LA PROTÉINE DESMOSOMALE REG, DANS LE CONTRÔLE DE LA PROLIFÉRATION ET DE LA DIFFÉRENCIATION DES CELLULES GERMINALES ET INTESTINALES : IMPACT DES FACTEURS D'ENVIRONNEMENT;EA3835;Inactive;2004;2004;Unité propre;21;2;;;;
200415104E;LABORATOIRE DE BACTERIOLOGIE;EA3844;Inactive;2004;2007;Unité propre;21;2;;;;
200415105F;NEURO-PSYCHO-PHARMACOLOGIE DES SYSTÈMES DOPAMINERGIQUES SOUS-CORTICAUX;NPsy-Sydo;Active;2004;;Unité propre;21;2;;;;
200415116T;MORPHOGÉNÈSE ET ANTIGÉNICITÉ DU VIH ET DES VIRUS DES HÉPATITES;EA3856;Inactive;2004;2011;Unité propre;21;2;200919266G;R;renouvellement;2012
200214860Y;TRANSFORMATIONS ET REPERES CULTURELS : ESPACES LINGUISTIQUES ET SYSTEMES D'ORGANISATION (TRACES);EA3585;Inactive;2002;2005;Unité propre;21;2;200615320F;F;fusion;2006
200214865D;GROUPE DE RECHERCHE EN INFORMATIQUE ET MATHEMATIQUES APPLIQUEES DES ANTILLES-GUYANE (GRIMAAG);EA3590;Inactive;2002;2009;Unité propre;21;2;;;;
200214866E;ANALYSE, OPTIMISATION, CONTRÔLE (AOC);EA3591;Inactive;2002;2009;Unité propre;21;2;;;;
200214868G;Ecosystèmes Amazoniens et Pathologie Tropicale;EPat;Active;2002;;Unité propre;21;2;;;;
200214875P;CENTRE D'ETUDES ET DE RECHERCHE SUR LES CIVILISATIONS ET LES LITTERATURES EUROPEENNES (CERCLE);EA3601;Inactive;2002;2005;Unité propre;21;2;;;;
200214877S;LABORATOIRE DE RECHERCHE JURIDIQUE;LARJ;Active;2002;;Unité propre;21;2;;;;
200214881W;CENTRE D'ETUDES ET DE RECHERCHES SUR LES TEXTES ELECTRONIQUES LITTERAIRES (CERTEL);EA3607;Inactive;2002;2007;Unité propre;21;2;;;;
200214882X;ENTRAINEMENT, RÉENTRAINEMENT POUR LA PERFORMANCE ET LA SANTÉ;EA3608;Inactive;2002;2009;Unité propre;21;2;;;;
200214887C;CENTRE RENE DEMOGUE, CENTRE D'ETUDE DES DOCTRINES JURIDIQUES;EA3613;Inactive;2002;2009;Unité propre;21;2;;;;
200214891G;BIOCHIMIE RADICALAIRE ET ATTEINTES VASCULAIRES. ETUDE DES EFFETS DE MOLECULES A PROPRIETES ANTIOXYDANTES ET CYTOPROTECTRICES;EA3617;Inactive;2002;2009;Unité propre;21;2;;;;
200214892H;LABORATOIRE DE GENETIQUE MOLECULAIRE;EA3618;Inactive;2002;2005;Unité propre;21;2;;;;
200214896M;INFECTIONS HERPETIQUES ET NEUROVIRULENCE;EA3622;Inactive;2002;2005;Unité propre;21;2;;;;
200214899R;GROUPE D'ETUDE POUR L'EUROPE DE LA CULTURE ET DE LA SOLIDARITE;GEPECS;Inactive;2002;2013;Unité propre;21;2;201420830K;EF;éclatement - fusion;2014
200214907Z;LABORATOIRE BOURGUIGNON DES MATERIAUX ET PROCEDES;LaBoMaP;Active;1993;;Unité propre;21;2;;;;
200214918L;CENTRE D'ANALYSE DES REGULATIONS POLITIQUES;CARPO;Inactive;2002;2011;Unité propre;21;2;;;;
200314927S;LABORATOIRE PLURIDISCIPLINAIRE DE RECHERCHES SUR L'IMAGINAIRE APPLIQUEES A LA LITTERATURE (LAPRIL);EA3653;Inactive;2003;2006;Unité propre;21;2;200715438E;EF;éclatement - fusion;2007
200314928T;CENTRE DE RECHERCHES PHILOSOPHIQUES SUR LA NATURE (CREPHINAT);EA3654;Inactive;2003;2006;Unité propre;21;2;200715440G;F;fusion;2007
200314990K;EQUIPE UNIVERSITAIRE DE RECHERCHE EN INFORMATIQUE DE SAINT ETIENNE;EA3721;Inactive;2003;2006;Unité propre;21;2;;;;
200314995R;CENTRE D'ETUDES DEMOGRAPHIQUES (CED);EA3726;Inactive;2003;2006;Unité propre;21;2;;;;
200314996S;SAVOIRS, DIVERSITE, PROFESSIONALISATION;EA3727;Inactive;2003;2006;Unité propre;21;2;;;;
200314998U;LABORATOIRE DE PSYCHOLOGIE DE LA SANTE ET DU DEVELOPPEMENT;EA3729;Inactive;2003;2006;Unité propre;21;2;200715373J;EF;éclatement - fusion;2007
200315005B;ESTIMATION ET MODELISATION DU BENEFICE THERAPEUTIQUE CHEZ L'HOMME;EA3736;Inactive;2003;2006;Unité propre;21;2;;;;
200418186E;Unité Postulante de Génétique, papillomavirus et cancer humain;3770;Inactive;2004;2013;Unité propre;21;2;;;;
200818189R;Unité des Hépacivirus et immunité innée;;Inactive;2008;2018;Unité mixte;22;2;;;;
200818192U;Laboratoire d'Immunopathologie virale;;Inactive;2008;2010;Unité mixte;22;2;;;;
200418197S;Unité Postulante des Stratégies antivirales;;Inactive;2004;2020;Unité propre;21;2;;;;
200818199B;Groupe à 5 ans des Populations virales et pathogenèse;5885;Inactive;2008;2012;Unité propre;21;2;;;;
200717404S;LABORATOIRE DE BIOMECANIQUE ET MECANIQUE DES CHOCS;LBMC;Active;2007;;Unité mixte;22;2;;;;
200519254L;Laboratoire d'Optique et Biosciences;LOB;Active;2001;;Unité mixte;22;2;;;;
200819257B;VALIDATION ET IDENTIFICATION DE NOUVELLES CIBLES EN ONCOLOGIE;VINCO;Inactive;2008;2015;Unité mixte;22;2;201622178S;EF;éclatement - fusion;2016
200718374W;Recherche de preuve et raisonnement sur des spécifications logiques;PARSIFAL;Inactive;2007;2019;Unité propre;21;2;;;;
200318378T;Théorie algorithmique des nombres pour la cryptologie;TANC;Inactive;2003;2011;Unité propre;21;2;;;;
200218379Y;Intégration de données et de connaissances distribuées sur le Web;GEMO;Inactive;2003;2009;Unité propre;21;2;;;;
199818381T;Contrôle et modélisation de ressources renouvelables;COMORE;Inactive;1998;2010;Unité propre;21;2;;;;
200418383U;Modélisation Et Ressources en Eau;MERE;Inactive;2004;2010;Unité propre;21;2;;;;
200718385H;Modélisation de la morphogénèse des plantes à différentes échelles, des gènes aux phénotypes;VIRTUAL PLANTS;Inactive;2007;2017;Unité propre;21;2;;;;
200018396A;Migration et mobilité : sémantique et applications;MIMOSA;Inactive;2000;2008;Unité propre;21;2;;;;
200818398T;Robotique Avancée et Systèmes Autonomes;AROBAS;Inactive;2008;2011;Unité propre;21;2;;;;
200418404S;Environnements de vérification et sécurité du logiciel;EVEREST;Inactive;2004;2008;Unité propre;21;2;;;;
200218406C;Contraintes, optimisation et résolution par intervalles;COPRIN;Inactive;2002;2013;Unité propre;21;2;;;;
200017717M;Comparaisons internationales : objectifs et méthodes;;Inactive;2000;2015;Unité propre;21;2;;;;
199818409Y;LCPC/Division Bétons et Composites Cimentaires;LCPC/BCC;Inactive;1998;2010;Département (niveau 3 - structure collaborative);14;3;;;;
200418904K;Laboratoire d'Ecologie Pelagique;PDG-DOP-DCB-DYNECO-PELAGOS;Inactive;2004;2011;Unité propre;21;2;;;;
200418909R;Departement Etudes des Ecosystemes Profonds;PDG-DOP-DCB-EEP;Inactive;2004;2011;Unité propre;21;2;;;;
200418913V;Laboratoire Geophysique et Geodynamique;PDG-DOP-DCB-GM-LGG;Inactive;2004;2011;Unité propre;21;2;;;;
200919269K;PHYSIQUE DES ONDES POUR LA MEDECINE;;Inactive;2009;2018;Unité propre;21;2;201922842A;R;renouvellement;2019
201019271H;DIFFERENCIATION ET COMMUNICATION NEURONALE ET NEUROENDOCRINE;DC2N;Inactive;2010;2016;Unité mixte;22;2;201722721C;R;renouvellement;2017
199619294U;RADIOBIOLOGIE MOLECULAIRE ET CELLULAIRE;;Inactive;1996;2011;Unité mixte;22;2;;;;
200419299P;LABORATOIRE DE MECANIQUE DES STRUCTURES INDUSTRIELLES DURABLES;;Inactive;2004;2011;Unité mixte;22;2;;;;
200817616T;Institut de combustion, aérothermique,réactivité et environnement;ICARE;Active;2006;;Unité propre;21;2;;;;
201119442P;EDUCATION, FORMATION, TRAVAIL, SAVOIRS;EFTS;Active;2011;;Unité mixte;22;2;;;;
201119443R;MÉDI-TERRA, GROUPE D'ETUDE DE GEOGRAPHIE PHYSIQUE;MÉDI-TERRA;Inactive;2011;2014;Unité propre;21;2;;;;
201119447V;AGe, Imagerie, Modélisation;AGIM;Inactive;2011;2014;Unité mixte;22;2;;;;
201119450Y;Laboratoire Inter DIsciplinaire Performance Santé Environnement de Montagne;LIPSEM;Active;2011;;Unité propre;21;2;;;;
201119451Z;Education, Cultures, Politiques - EA4571;ECP;Active;2011;;Unité mixte;22;2;;;;
201119454C;Institut des Sciences de la Terre;ISTERRE;Active;2011;;Unité mixte;22;2;;;;
201119463M;BIOTHÉRAPIES DES MALADIES GÉNÉTIQUES ET CANCERS;BMGIC;Active;2011;;Unité mixte;22;2;;;;
201119524D;PÔLE DE FORMATION ET DE RECHERCHE MIPS (MATHÉMATIQUES, INFORMATIQUE, PHYSIQUE, STRUCTURES ET SYSTÈMES);FED4158;Inactive;2011;2014;Structures Fédératives de Recherche;3;3;;;;
200919526P;Fédération de Recherche Chimie Balard;;Inactive;2009;2020;Structures Fédératives de Recherche;3;3;;;;
201119532M;Fédération des Sciences Archéologiques de Bordeaux;FSAB;Active;2011;;Structures Fédératives de Recherche;3;3;;;;
201119537T;Maison de l'Orient et de la Méditerranée - Jean Pouilloux;MOM;Inactive;2011;2016;Unité propre;21;2;;;;
200718311C;modèles de la reconnaissance visuelle d'objets et de scènes;WILLOW;Active;2007;2021;Unité propre;21;2;;;;
201119541X;TERRITOIRES EN RESEAU - MISE EN RESEAU DE LA RECHERCHE TERRITORIALE;FED4191;Active;2011;;Structures Fédératives de Recherche;3;3;;;;
201119544A;FRE 3768 - INSTITUT DES SCIENCES DE L'HOMME;ISH;Active;2011;;Unité mixte;22;2;;;;
201119546C;SANTÉ PUBLIQUE, SOCIÉTÉ;;Active;2011;;Structures Fédératives de Recherche;3;3;;;;
200518380L;Analyse et Simulation d'Images Biomédicales;ASCLEPIOS;Inactive;2005;2017;Unité propre;21;2;;;;
200717507D;LABORATOIRE DE GEOPHYSIQUE INTERNE ET TECHTONOPHYSIQUE (LGIT);UM56;Inactive;2007;2010;Unité mixte;22;2;201119454C;F;fusion;2011
200817511D;MODELISATION ET SIMULATION MULTI-ECHELLE;FRE3160;Inactive;2008;2009;Unité mixte;22;2;;;;
200817512E;Institut de recherche interdisciplinaire;IRI;Inactive;2008;2014;Unité mixte;22;2;;;;
200617515S;INSTITUT DE RECHERCHE INTERDISCIPLINAIRE;FRE2963;Inactive;2006;2007;Unité mixte;22;2;;;;
200117516P;LABORATOIRE DE RECHERCHE SUR LA  CROISSANCE CELLULAIRE, LA REPARATION ET LA REGENERATION  TISSULAIRES.;FRE2412;Inactive;2001;2004;Unité mixte;22;2;;;;
198817935B;Génétique Microbienne;GM;Inactive;1988;2010;Unité propre;21;2;;;;
199917635C;UNITE MIXTE DE RECHERCHE EPIDEMIOLOGIQUE TRANSPORT. TRAVAIL ENVIRONNEMENT;UMR_T9002;Inactive;1999;2006;Unité mixte;22;2;200717642A;R;renouvellement;2007
200317637M;LABORATOIRE DE GENIE DES PROCEDES;UMR_C16;Inactive;2003;2010;Unité mixte;22;2;;;;
